column_name,column_label,spss_file
q156,"54. Czy w ciągu ostatniego roku miał(a) Pan(i) jakieś kłopoty w uiszczaniu opłat za mieszkanie, gaz lub elektryczność? - kłopoty z opłatami za mieszkanie",CBOS_57_02_1995.sav
q418,"Czy Pan(i) i Pana(i) rodzina mieszka samodzielnie, czy dzieli mieszkanie z inną osobą lub rodziną?",CBOS_57_02_1995.sav
q428,"Czy mieszkanie (dom), w którym Pan(i) obecnie mieszka jest:",CBOS_57_02_1995.sav
q140,"52. Rząd przewiduje, że w 1995 roku inflacja, czyli spadek wartości pieniądza, wyniesie 17%. Czy, Pana(i) zdaniem, ...  powinny:  - dochody ludności",CBOS_56_01_1995.sav
q84,"29D. Czy, Pana(i) zdaniem, w tym roku w porównaniu z ubiegłym rokiem - Realne dochody ludzi w Polsce w porównaniu z rokiem ubiegłym będą:",CBOS_106_03_1999.sav
q115,"Czy w poprzednim miesiącu, tzn. w lutym, Pan(i) i Pana(i) gospodarstwo domowe było zmuszone, czy też nie, ze względu na sytuację finansową: - sięgać do oszczędności gotówkowych",CBOS_106_03_1999.sav
q126,Czy mają Państwo jakieś oszczędności? Czy jest/są to: - akcje firm notowanych na giełdzie,CBOS_106_03_1999.sav
q162,Istnieją rozmaite sposoby zabezpieczania oszczędności ubezpieczonych przed ryzykiem. Które z poniższych rozwiązań bardziej by Panu(i) odpowiadało?,CBOS_106_03_1999.sav
q232,Według którego progu podatkowego rozlicza Pan(i) swoje dochody osobiste za rok 1997,CBOS_95_04_1998.sav
q64,"15. Czy, Pana(i) zdaniem ….. w wyniku realizacji programu Balcerowicza: - Zarobki i dochody ludności",CBOS_3_03_1990.sav
q76,"22. Załóżmy, że ma Pan(i) taką sumę oszczędności, którą mógł(a)by Pan(i) gdzieś ulokować, w coś zainwestować. Czy swoje oszczędności przeznaczył(a)by Pan(i) na: - długoterminowe wkłady oszczędnościowe w PKO",CBOS_3_03_1990.sav
q77,"22. Załóżmy, że ma Pan(i) taką sumę oszczędności, którą mógł(a)by Pan(i) gdzieś ulokować, w coś zainwestować. Czy swoje oszczędności przeznaczył(a)by Pan(i) na: - długoterminowe wkłady oszczędnościowe w innych bankach",CBOS_3_03_1990.sav
q78,"22. Załóżmy, że ma Pan(i) taką sumę oszczędności, którą mógł(a)by Pan(i) gdzieś ulokować, w coś zainwestować. Czy swoje oszczędności przeznaczył(a)by Pan(i) na: - zakup akcji przedsiębiorstw, sprzedawanych w ramach ich prywatyzacji",CBOS_3_03_1990.sav
q79,"22. Załóżmy, że ma Pan(i) taką sumę oszczędności, którą mógł(a)by Pan(i) gdzieś ulokować, w coś zainwestować. Czy swoje oszczędności przeznaczył(a)by Pan(i) na: - zakup obligacji NBP",CBOS_3_03_1990.sav
q80,"22. Załóżmy, że ma Pan(i) taką sumę oszczędności, którą mógł(a)by Pan(i) gdzieś ulokować, w coś zainwestować. Czy swoje oszczędności przeznaczył(a)by Pan(i) na: - zakup towarów, która w przyszłości będzie można korzystnie sprzedać",CBOS_3_03_1990.sav
q81,"22. Załóżmy, że ma Pan(i) taką sumę oszczędności, którą mógł(a)by Pan(i) gdzieś ulokować, w coś zainwestować. Czy swoje oszczędności przeznaczył(a)by Pan(i) na: - zakup dolarów lub innych walut obcych",CBOS_3_03_1990.sav
q430,"Czy Pan(i) lub współmałżonek posiadacie oszczędności finansowe (lokatę, akcje, obligacje, tytuły uczestnictwa funduszu powierniczego, oszczędności w innej postaci)?",CBOS_151_12_2002.sav
q39s9,Czy w minionym roku: - zaciągnął Pan(i) kredyt lub pożyczkę w banku lub innej instytucji finansowej,CBOS_236_01_2010.sav
q95,"Ile wynoszą Pana(i) miesięczne dochody NETTO (na rękę)? Proszę wziąć pod uwagę Pana(i) dochody z pracy głównej wraz z premiami, nagrodami, dodatkami, dochody z prac dodatkowych, także dorywczych, renty i emerytury, stypendia oraz inne dodatkowe do...",CBOS_236_01_2010.sav
q97,"M14_D. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się Pana(i) miesięcznie dochody netto?",CBOS_236_01_2010.sav
q100,"M15_D. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się przeciętne miesięczne dochody NETTO przypadające na jedną osobę w Pana(i) gospodarstwie domowy...",CBOS_236_01_2010.sav
q174,"A jaki to samochód/samochody? Marka, producent - Samochód I",CBOS_68_01_1996.sav
q175,"A jaki to samochód/samochody? Marka, producent - Samochód II",CBOS_68_01_1996.sav
q176,A jaki to samochód/samochody? Rok produkcji - Samochód I,CBOS_68_01_1996.sav
q177,A jaki to samochód/samochody? Rok produkcji - Samochód II,CBOS_68_01_1996.sav
q178,A jaki to samochód/samochody? Pojemność silnika (w cm3) - Samochód I,CBOS_68_01_1996.sav
q179,A jaki to samochód/samochody? Pojemność silnika (w cm3) - Samochód II,CBOS_68_01_1996.sav
q180,A jaki to samochód/samochody? Typ silnika - Samochód I,CBOS_68_01_1996.sav
q181,A jaki to samochód/samochody? Typ silnika - Samochód II,CBOS_68_01_1996.sav
q182,"Czy w ciągu najbliższych 12 miesięcy Pan(i) lub ktoś z Pana(i) gospodarstwa domowego zamierza: - budować, kupić dom/mieszkanie",CBOS_68_01_1996.sav
q183,"Czy w ciągu najbliższych 12 miesięcy Pan(i) lub ktoś z Pana(i) gospodarstwa domowego zamierza: - remontować, modernizować dom/mieszkanie",CBOS_68_01_1996.sav
q184,"Czy w ciągu najbliższych 12 miesięcy Pan(i) lub ktoś z Pana(i) gospodarstwa domowego zamierza: - kupić, zmienić samochód",CBOS_68_01_1996.sav
q187,Czy w ciągu najbliższych 12 miesięcy Pan(i) lub ktoś z Pana(i) gospodarstwa domowego zamierza: - umeblować dom/mieszkanie,CBOS_68_01_1996.sav
q191,"Przypuśćmy, że otrzymał(a)by Pan(i) 1 mld starych zł. w gotówce. Jaką część tej sumy przeznaczył(a)by Pan(i) na każdy wybrany cel? - Dom, mieszkanie dla siebie, dla członków własnego GD",CBOS_68_01_1996.sav
q95,28. A czy swoje dochody osobiste za rok 2001 rozliczał(a) Pan(i):,CBOS_144_05_2002.sav
q114,Według którego progu podatkowego rozlicza Pan(i) swoje dochody osobiste za rok 2001?,CBOS_144_05_2002.sav
q437,"Czy Pan(i) lub współmałżonek posiadacie oszczędności finansowe (lokatę, akcje, obligacje, tytuły uczestnictwa funduszu powierniczego, oszczędności w innej postaci)?",CBOS_144_05_2002.sav
q88i6,Z czego przede wszystkim utrzymuje się Pan(i) obecnie: Z oszczędności,CBOS_251_04_2011.sav
q165,"M19_2. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się PRZECIĘTNE MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ) PRZYPADAJĄCE NA JEDNĄ OSOBĘ W PANA(I) GOSPODARST...",CBOS_251_04_2011.sav
q96i6,Z czego przede wszystkim utrzymuje się Pan(i) obecnie? - Z oszczędności,CBOS_287_04_2014.sav
P49,A czy swoje dochody osobiste za rok 2005 rozliczał Pan(i),CBOS_192_05_2006.sav
P57,Według którego progu podatkowego rozlicza Pan(i) swoje dochody osobiste za rok 2005,CBOS_192_05_2006.sav
P60,"Czy Pan(i) lub ktoś z Pana(i) gospodarstwa domowego spłaca kredyt w euro lub jakiejś innej europejskiej walucie, lub ma oszczędności w euro lub innej europejskiej walucie",CBOS_192_05_2006.sav
q104,"36. Jak postępuje się w Pana(i) rodzinie w sytuacji, kiedy dochody są za niskie w stosunku do potrzeb? - Staram(y) się jak najmniej wydawać, ograniczam(y) wydatki",CBOS_32_02_1993.sav
q105,"36. Jak postępuje się w Pana(i) rodzinie w sytuacji, kiedy dochody są za niskie w stosunku do potrzeb? - Staram(y) się jak najmniej wydawać, ograniczam(y) wydatki - Na co przede wszystkim?",CBOS_32_02_1993.sav
q106,"36. Jak postępuje się w Pana(i) rodzinie w sytuacji, kiedy dochody są za niskie w stosunku do potrzeb? - Rezygnuję(my) całkowicie z wydatków na niektóre cele",CBOS_32_02_1993.sav
q107,"36. Jak postępuje się w Pana(i) rodzinie w sytuacji, kiedy dochody są za niskie w stosunku do potrzeb? - Rezygnuję(my) całkowicie z wydatków na niektóre cele - Na co przede wszystkim?",CBOS_32_02_1993.sav
q108,"36. Jak postępuje się w Pana(i) rodzinie w sytuacji, kiedy dochody są za niskie w stosunku do potrzeb? - Sięgam(y) do oszczędności gotówkowych",CBOS_32_02_1993.sav
q109,"36. Jak postępuje się w Pana(i) rodzinie w sytuacji, kiedy dochody są za niskie w stosunku do potrzeb? - Podejmuję(my) dodatkowe zajęcia zarobkowe",CBOS_32_02_1993.sav
q110,"36. Jak postępuje się w Pana(i) rodzinie w sytuacji, kiedy dochody są za niskie w stosunku do potrzeb? - Podejmuję(my) dodatkowe zajęcia zarobkowe - Jakie?",CBOS_32_02_1993.sav
q111,"36. Jak postępuje się w Pana(i) rodzinie w sytuacji, kiedy dochody są za niskie w stosunku do potrzeb? - Zaciągam(y) pożyczki",CBOS_32_02_1993.sav
q112,"36. Jak postępuje się w Pana(i) rodzinie w sytuacji, kiedy dochody są za niskie w stosunku do potrzeb? - Zwracam(y) się o pomoc do różnych instytucji (np. do PCK, opieki społecznej itp.)",CBOS_32_02_1993.sav
q113,"36. Jak postępuje się w Pana(i) rodzinie w sytuacji, kiedy dochody są za niskie w stosunku do potrzeb? - Otrzymuję(my) pomoc od rodziny, krewnych",CBOS_32_02_1993.sav
q61i6,25. Z czego przede wszystkim utrzymuje się Pan(i) obecnie? Proszę wskazać nie więcej niż trzy możliwości: Z oszczędności,CBOS_311_04_2016.sav
q94,"50. Czy ktoś z Pana(i) rodziny, spoza Pan(i) gospodarstwa domowego, spłaca obecnie jakiś kredyt mieszkaniowy we frankach szwajcarskich?",CBOS_311_04_2016.sav
q95,51. Czy zna Pan(i) osobiście kogoś – spoza Pana(i) rodziny - kto zaciągnął kredyt we frankach szwajcarskich?,CBOS_311_04_2016.sav
q144,"Ile wynoszą Pana(i) miesięczne dochody NETTO (na rękę)? Proszę wziąć pod uwagę Pana(i) dochody z pracy głównej wraz z premiami, nagrodami, dodatkami, dochody z prac dodatkowych, także dorywczych, renty i emerytury, stypendia oraz inne dodatkowe do...",CBOS_237_02_2010.sav
q146,"M14_D. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się Pana(i) miesięcznie dochody netto?",CBOS_237_02_2010.sav
q149,"M15_D. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się przeciętne miesięczne dochody NETTO przypadające na jedną osobę w Pana(i) gospodarstwie domowy...",CBOS_237_02_2010.sav
q83,W jaki sposób rozliczał(a) Pan(i) swoje dochody osobiste za rok 2012?,CBOS_276_05_2013.sav
q28,"Ile, według Pana(i), powinny wynosić miesięczne dochody na jedną osobę w Pana(i) rodzinie, aby można było: - żyć dostatnio, bez problemów finansowych",CBOS_27_09_1992.sav
q29,"Ile, według Pana(i), powinny wynosić miesięczne dochody na jedną osobę w Pana(i) rodzinie, aby można było: - żyć na średnim poziomie",CBOS_27_09_1992.sav
q30,"Ile, według Pana(i), powinny wynosić miesięczne dochody na jedną osobę w Pana(i) rodzinie, aby można było: - zaspokajać jedynie podstawowe potrzeby",CBOS_27_09_1992.sav
q429,"Czy Pan(i) lub współmałżonek posiadacie oszczędności finansowe (lokatę, akcje, obligacje, tytuły uczestnictwa funduszu powierniczego, oszczędności w innej postaci)?",CBOS_147_08_2002.sav
q104,"26. Czy kupił(a)by Pan(i) akcje swojego przedsiębiorstwa, gdyby była taka możliwość?",CBOS_29_11_1992.sav
q167,"56. W projekcie budżetu przyjęto, że dochody państwa będą większe dlatego, że wzrost gospodarczy będzie wyższy oraz,... Czy uważa Pan(i), że rząd trafnie czy też nietrafnie przewiduje, że - wzrost gospodarczy będzie wyższy",CBOS_149_10_2002.sav
q168,"56. W projekcie budżetu przyjęto, że dochody państwa będą większe dlatego, że wzrost gospodarczy będzie wyższy oraz,... Czy uważa Pan(i), że rząd trafnie czy też nietrafnie przewiduje, że - wpływy z podatków i opłat będą wyższe",CBOS_149_10_2002.sav
q171,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - książeczka oszczędnościowa",CBOS_149_10_2002.sav
q172,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - konto bankowe terminowe w złotówkach",CBOS_149_10_2002.sav
q173,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - konto bankowe a vista (płatne na każde żądanie) w złotówkach, ROR",CBOS_149_10_2002.sav
q174,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - bony lokacyjne",CBOS_149_10_2002.sav
q175,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - walutowe konto bankowe terminowe",CBOS_149_10_2002.sav
q176,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - walutowe konto bankowe a vista",CBOS_149_10_2002.sav
q177,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - akcje firm notowanych na giełdzie",CBOS_149_10_2002.sav
q178,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - obligacje skarbu państwa",CBOS_149_10_2002.sav
q179,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - jednostki uczestnictwa w funduszu powierniczym",CBOS_149_10_2002.sav
q180,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - indywidualna polisa ubezpieczenia na życie, np. PZU-Życie,",CBOS_149_10_2002.sav
q181,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - kosztowności",CBOS_149_10_2002.sav
q182,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - gotówka (w złotych) w domu",CBOS_149_10_2002.sav
q183,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - waluty w domu",CBOS_149_10_2002.sav
q184,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - wartościowe przedmioty, które w razie potrzeby można spieniężyć, np. dzieła sztuki lub inne",CBOS_149_10_2002.sav
q185,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - pieniądze ulokowane w nieruchomościach, mieszkaniach, które w razie potrzeby można sprzedać",CBOS_149_10_2002.sav
q186,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - pieniądze ulokowane w ziemi np. działce budowlanej, rekreacyjnej itp., które w razie potrzeby można sprzedać",CBOS_149_10_2002.sav
q187,"Czy ma/mają Pan(i)/Państwo jakieś oszczędności lub inne zasoby materialne, które można spieniężyć w razie potrzeby? - inne oszczędności",CBOS_149_10_2002.sav
q429,"Czy Pan(i) lub współmałżonek posiadacie oszczędności finansowe (lokatę, akcje, obligacje, tytuły uczestnictwa funduszu powierniczego, oszczędności w innej postaci)?",CBOS_149_10_2002.sav
q28i17,"P12A. Jeśli nie zdecydował(a) się Pan(i) jeszcze, na którą partię głosować, proszę powiedzieć, którą czy które partie bierze Pan(i) ewentualnie pod uwagę. - Dom Ojczysty",CBOS_184_09_2005.sav
q135,"Czy za swoje dzisiejsze dochody jest Pan(i) w stanie kupić więcej, czy mniej towarów niż rok temu?",CBOS_184_09_2005.sav
q94i6,48. Z czego przede wszystkim utrzymuje się P. obecnie?-Z oszczędności,CBOS_323_04_2017.sav
q158,Ile wynoszą P. MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ)? - zmienna pomocnicza,CBOS_323_04_2017.sav
DochOs,MIESIĘCZNE DOCHODY NETTO respondenta,CBOS_323_04_2017.sav
q162,Ile wynoszą PRZECIĘTNE MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ) PRZYPADAJĄCE NA JEDNĄ OSOBĘ W P. GOSPODARSTWIE DOMOWYM? - zmienna pomocnicza,CBOS_323_04_2017.sav
DochPC,PRZECIĘTNE MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ) PRZYPADAJĄCE NA JEDNĄ OSOBĘ W P. GOSPODARSTWIE DOMOWYM,CBOS_323_04_2017.sav
q528,"Czy Pan(i) lub współmałżonek posiadacie oszczędności finansowe (lokatę, akcje, obligacje, tytuły uczestnictwa funduszu powierniczego, oszczędności w innej postaci)?",CBOS_145_06_2002.sav
q23,"7. Czy ma Pan(i) jakieś oszczędności osobiste lub wspólne z innymi członkami Pana(i) gospodarstwa domowego w formie pieniędzy lub bonów, lokat bankowych, akcji lub obligacji itp.?",CBOS_98_07_1998.sav
q24,"8. Czy w ciągu ostatnich 30 dni oszczędności te zwiększyły się, czy zmniejszyły?",CBOS_98_07_1998.sav
q179,"62. Jak Pan(i) sądzi, czy samochód jest dla większości Polaków:",CBOS_98_07_1998.sav
q188,66. Czy ma Pan(i): - samochód do swojej dyspozycji,CBOS_98_07_1998.sav
q264,"Proszę powiedzieć, które z wymienionych dóbr i przedmiotów znajdują się obecnie w posiadaniu Pana(i) lub innych osób wchodzących w skład Pana(i) gospodarstwa domowego? - Akcje przedsiębiorstwa, w którym Pan(i) pracuje",CBOS_164_01_2004.sav
q265,"Proszę powiedzieć, które z wymienionych dóbr i przedmiotów znajdują się obecnie w posiadaniu Pana(i) lub innych osób wchodzących w skład Pana(i) gospodarstwa domowego? - Inne akcje lub obligacje",CBOS_164_01_2004.sav
q194,"60. Ile, według Pana(i), powinny wynosić miesięczne dochody na jedną osobę w Pana(i) rodzinie, aby mógł(a) Pan(i) powiedzieć o sobie :  Jestem  spokojny(a), że finansowo dam (damy) sobie radę""?:",CBOS_80_01_1997.sav
q102,"M14_D. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się Pana(i) miesięcznie dochody netto? %kr%",CBOS_222_11_2008.sav
q105,"M15_D. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się przeciętne miesięczne dochody NETTO przypadające na jedną osobę w Pana(i) gospodarstwie do",CBOS_222_11_2008.sav
q33s9,Czy w minionym roku: - zaciągnął Pan(i) kredyt lub pożyczkę w banku lub innej in...,CBOS_224_01_2009.sav
q134,"Ile wynoszą Pana(i) miesięczne dochody NETTO (na rękę)? Proszę wziąć pod uwagę Pana(i) dochody z pracy głównej wraz z premiami, nagrodami, dodatkami, dochody z prac dodatkowych, także dorywczych, renty i emerytury, stypendia oraz inne dodatkowe do...",CBOS_224_01_2009.sav
q136,"M14_D. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się Pana(i) miesięcznie dochody netto?",CBOS_224_01_2009.sav
